iter	Passed	Remaining
0	2	2100
1	3	1971
2	5	1829
3	7	1890
4	9	1823
5	11	1964
6	13	1898
7	16	2036
8	19	2140
9	22	2270
10	26	2357
11	28	2308
12	52	3949
13	55	3906
14	61	4070
15	63	3897
16	66	3825
17	69	3772
18	70	3645
19	76	3724
20	78	3679
21	80	3576
22	82	3489
23	83	3403
24	85	3340
25	88	3298
26	89	3218
27	90	3143
28	91	3073
29	93	3014
30	95	2970
31	96	2916
32	97	2869
33	99	2831
34	101	2803
35	102	2755
36	104	2717
37	105	2679
38	108	2668
39	109	2630
40	111	2599
41	112	2569
42	114	2538
43	116	2522
44	117	2493
45	118	2460
46	119	2430
47	121	2403
48	122	2378
49	124	2359
50	125	2336
51	126	2312
52	128	2291
53	129	2270
54	131	2259
55	133	2252
56	134	2229
57	135	2205
58	137	2186
59	138	2167
60	139	2151
61	140	2132
62	142	2120
63	144	2119
64	148	2143
65	150	2129
66	151	2109
67	154	2112
68	164	2217
69	165	2197
70	166	2178
71	168	2166
72	169	2147
73	170	2130
74	171	2113
75	172	2095
76	173	2079
77	174	2068
78	176	2053
79	177	2036
80	178	2024
81	179	2012
82	180	1991
83	181	1979
84	182	1967
85	183	1954
86	185	1944
87	186	1933
88	188	1926
89	189	1918
90	191	1910
91	193	1905
92	194	1898
93	195	1886
94	197	1877
95	198	1866
96	199	1855
97	200	1847
98	201	1837
99	203	1832
100	204	1823
101	206	1818
102	207	1809
103	208	1799
104	209	1789
105	210	1779
106	212	1774
107	214	1770
108	215	1762
109	216	1754
110	218	1749
111	222	1761
112	224	1763
113	225	1756
114	227	1748
115	228	1741
116	229	1733
117	231	1727
118	234	1732
119	235	1729
120	237	1723
121	238	1715
122	239	1710
123	241	1706
124	243	1707
125	245	1705
126	247	1700
127	249	1697
128	251	1695
129	252	1689
130	253	1683
131	255	1682
132	257	1676
133	258	1670
134	259	1664
135	260	1657
136	262	1653
137	264	1650
138	265	1644
139	266	1638
140	268	1635
141	269	1627
142	270	1622
143	271	1616
144	276	1631
145	280	1641
146	282	1637
147	284	1636
148	286	1634
149	287	1630
150	289	1624
151	290	1619
152	291	1616
153	295	1623
154	298	1625
155	299	1623
156	301	1617
157	302	1611
158	303	1605
159	304	1600
160	305	1593
161	307	1589
162	308	1586
163	310	1581
164	311	1576
165	313	1573
166	314	1569
167	315	1564
168	317	1559
169	318	1554
170	319	1549
171	321	1546
172	322	1542
173	323	1537
174	324	1531
175	325	1526
176	327	1520
177	328	1515
178	329	1511
179	330	1506
180	331	1500
181	332	1495
182	333	1490
183	334	1484
184	337	1485
185	338	1482
186	340	1479
187	342	1478
188	343	1474
189	345	1470
190	346	1466
191	347	1462
192	348	1458
193	350	1454
194	351	1450
195	352	1446
196	354	1443
197	355	1439
198	356	1435
199	357	1430
200	358	1426
201	359	1421
202	361	1417
203	362	1412
204	363	1408
205	364	1404
206	365	1402
207	367	1399
208	369	1397
209	370	1394
210	372	1392
211	374	1391
212	376	1389
213	377	1385
214	378	1383
215	380	1380
216	384	1388
217	387	1391
218	389	1388
219	390	1384
220	391	1381
221	393	1378
222	394	1374
223	396	1371
224	397	1368
225	399	1369
226	402	1369
227	403	1366
228	404	1362
229	406	1359
230	407	1356
231	408	1353
232	410	1350
233	415	1361
234	417	1357
235	418	1354
236	419	1352
237	421	1349
238	422	1346
239	425	1346
240	428	1350
241	431	1350
242	432	1347
243	433	1344
244	435	1340
245	436	1338
246	438	1337
247	440	1334
248	441	1331
249	442	1328
250	443	1324
251	445	1321
252	446	1317
253	447	1314
254	448	1311
255	450	1308
256	451	1304
257	452	1301
258	453	1298
259	455	1295
260	456	1291
261	457	1289
262	459	1286
263	460	1284
264	461	1281
265	463	1278
266	464	1274
267	465	1272
268	467	1269
269	468	1266
270	471	1268
271	474	1270
272	476	1267
273	477	1265
274	478	1262
275	480	1261
276	482	1259
277	486	1264
278	488	1261
279	489	1259
280	491	1256
281	493	1255
282	495	1255
283	497	1254
284	499	1253
285	501	1250
286	502	1248
287	503	1244
288	504	1242
289	506	1238
290	507	1236
291	508	1232
292	510	1231
293	511	1229
294	513	1227
295	514	1224
296	516	1222
297	517	1219
298	518	1216
299	520	1213
300	521	1210
301	524	1211
302	525	1209
303	528	1209
304	529	1206
305	530	1203
306	532	1200
307	533	1198
308	534	1195
309	536	1193
310	537	1190
311	538	1188
312	540	1186
313	543	1186
314	545	1185
315	547	1185
316	553	1193
317	556	1192
318	558	1193
319	561	1194
320	563	1192
321	565	1190
322	569	1194
323	576	1202
324	579	1204
325	591	1223
326	595	1225
327	601	1231
328	607	1238
329	615	1248
330	617	1247
331	619	1245
332	621	1245
333	623	1243
334	625	1242
335	628	1241
336	631	1242
337	635	1243
338	639	1246
339	642	1247
340	646	1249
341	650	1252
342	653	1252
343	656	1252
344	659	1251
345	661	1250
346	664	1250
347	665	1247
348	667	1244
349	669	1243
350	672	1242
351	675	1243
352	678	1242
353	681	1243
354	683	1241
355	685	1240
356	688	1239
357	690	1237
358	691	1235
359	693	1233
360	696	1232
361	698	1230
362	699	1227
363	701	1225
364	702	1222
365	704	1220
366	707	1219
367	709	1219
368	712	1217
369	714	1216
370	717	1216
371	719	1215
372	721	1213
373	724	1211
374	727	1212
375	729	1210
376	732	1209
377	734	1208
378	738	1209
379	742	1211
380	744	1209
381	747	1208
382	749	1207
383	750	1204
384	753	1203
385	754	1200
386	757	1199
387	759	1197
388	762	1197
389	764	1196
390	766	1194
391	768	1192
392	770	1190
393	772	1187
394	774	1185
395	775	1183
396	777	1180
397	779	1178
398	781	1177
399	784	1176
400	786	1174
401	788	1172
402	790	1171
403	793	1170
404	796	1170
405	798	1168
406	801	1167
407	803	1165
408	806	1164
409	808	1164
410	810	1162
411	814	1162
412	816	1160
413	822	1164
414	825	1163
415	827	1161
416	829	1159
417	831	1158
418	833	1156
419	835	1153
420	836	1151
421	839	1150
422	842	1149
423	844	1147
424	846	1145
425	855	1152
426	870	1168
427	881	1178
428	890	1185
429	894	1186
430	905	1194
431	906	1192
432	908	1189
433	909	1186
434	910	1183
435	912	1179
436	914	1178
437	916	1176
438	918	1173
439	919	1170
440	925	1172
441	926	1170
442	928	1167
443	935	1171
444	937	1169
445	939	1167
446	941	1165
447	943	1162
448	945	1160
449	947	1157
450	948	1154
451	950	1152
452	952	1150
453	954	1147
454	955	1144
455	957	1141
456	958	1139
457	961	1137
458	962	1134
459	964	1131
460	971	1135
461	972	1132
462	977	1133
463	980	1132
464	981	1129
465	985	1129
466	988	1128
467	1001	1138
468	1003	1136
469	1015	1145
470	1019	1145
471	1047	1171
472	1049	1169
473	1051	1166
474	1052	1163
475	1054	1160
476	1060	1162
477	1072	1171
478	1087	1183
479	1092	1183
480	1098	1185
481	1103	1185
482	1113	1192
483	1139	1214
484	1141	1211
485	1146	1212
486	1148	1210
487	1150	1207
488	1153	1205
489	1154	1201
490	1155	1198
491	1156	1194
492	1158	1191
493	1159	1187
494	1161	1184
495	1162	1181
496	1164	1178
497	1166	1175
498	1169	1174
499	1170	1170
500	1173	1168
501	1174	1165
502	1176	1162
503	1177	1159
504	1179	1155
505	1181	1153
506	1183	1151
507	1186	1148
508	1187	1145
509	1188	1141
510	1189	1138
511	1190	1134
512	1192	1131
513	1193	1128
514	1195	1125
515	1197	1123
516	1198	1120
517	1200	1116
518	1201	1113
519	1203	1110
520	1204	1107
521	1206	1104
522	1207	1101
523	1209	1098
524	1211	1095
525	1213	1093
526	1215	1090
527	1216	1087
528	1218	1084
529	1220	1081
530	1222	1079
531	1223	1076
532	1225	1073
533	1230	1073
534	1232	1070
535	1237	1071
536	1239	1068
537	1244	1068
538	1247	1066
539	1249	1064
540	1251	1061
541	1253	1059
542	1259	1060
543	1261	1057
544	1262	1054
545	1263	1051
546	1265	1047
547	1266	1044
548	1268	1041
549	1269	1038
550	1270	1035
551	1272	1033
552	1274	1030
553	1277	1028
554	1279	1025
555	1280	1022
556	1282	1019
557	1283	1016
558	1284	1013
559	1286	1010
560	1288	1008
561	1294	1008
562	1296	1006
563	1298	1003
564	1300	1001
565	1303	999
566	1307	998
567	1309	995
568	1310	992
569	1312	990
570	1313	987
571	1315	984
572	1316	981
573	1318	978
574	1319	975
575	1320	972
576	1322	969
577	1323	966
578	1324	963
579	1326	960
580	1328	958
581	1330	955
582	1333	954
583	1341	955
584	1343	953
585	1345	950
586	1347	948
587	1349	945
588	1351	943
589	1352	940
590	1354	937
591	1356	934
592	1358	932
593	1362	931
594	1364	928
595	1365	925
596	1366	922
597	1368	919
598	1369	916
599	1370	913
600	1376	914
601	1382	913
602	1384	911
603	1387	909
604	1390	907
605	1393	905
606	1395	903
607	1396	900
608	1398	897
609	1400	895
610	1405	894
611	1407	892
612	1410	890
613	1412	887
